number	bepoch	bini	binlabel	codelabel	duration	enable	flag	item	latency	type	epoch
189.000000	189.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	29.000000	103451.000000	B4(116)	189.000000
190.000000	190.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	30.000000	104001.000000	B2(170)	190.000000
191.000000	191.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	31.000000	104551.000000	B4(114)	191.000000
192.000000	192.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	32.000000	105101.000000	B3(134)	192.000000
193.000000	193.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	33.000000	105651.000000	B1(196)	193.000000
194.000000	194.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	34.000000	106201.000000	B4(116)	194.000000
195.000000	195.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	35.000000	106751.000000	B1(194)	195.000000
196.000000	196.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	36.000000	107301.000000	B3(136)	196.000000
197.000000	197.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	37.000000	107851.000000	B3(134)	197.000000
198.000000	198.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	38.000000	108401.000000	B4(116)	198.000000
199.000000	199.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	39.000000	108951.000000	B2(174)	199.000000
200.000000	200.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	40.000000	109501.000000	B3(134)	200.000000
